source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[diagnosis]	characteristics[sample type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[patient ID]	characteristics[biological replicate]	assay name	comment[technical replicate]	comment[fraction identiier]	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[data file]	comment[uri]	comment[database]	factor value[organism part]
PXD047742-Sample-15	Homo sapiens	blood	B cell	B cell	normal	normal	normal	not available	not available	not available	adult	not available	15	B cell-15	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	B_15.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/B_15.raw	MASSIVE	B cell
PXD047742-Sample-16	Homo sapiens	blood	CD4 T cell	CD4 T cell	normal	normal	normal	not available	not available	not available	adult	not available	16	CD4 T cell-16	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD4_1.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD4_1.raw	MASSIVE	CD4 T cell
PXD047742-Sample-17	Homo sapiens	blood	CD4 T cell	CD4 T cell	normal	normal	normal	not available	not available	not available	adult	not available	17	CD4 T cell-17	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD4_2.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD4_2.raw	MASSIVE	CD4 T cell
PXD047742-Sample-18	Homo sapiens	blood	CD4 T cell	CD4 T cell	normal	normal	normal	not available	not available	not available	adult	not available	18	CD4 T cell-18	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD4_3.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD4_3.raw	MASSIVE	CD4 T cell
PXD047742-Sample-19	Homo sapiens	blood	CD4 T cell	CD4 T cell	normal	normal	normal	not available	not available	not available	adult	not available	19	CD4 T cell-19	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD4_4.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD4_4.raw	MASSIVE	CD4 T cell
PXD047742-Sample-20	Homo sapiens	blood	CD4 T cell	CD4 T cell	normal	normal	normal	not available	not available	not available	adult	not available	20	CD4 T cell-20	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD4_5.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD4_5.raw	MASSIVE	CD4 T cell
PXD047742-Sample-21	Homo sapiens	blood	CD4 T cell	CD4 T cell	normal	normal	normal	not available	not available	not available	adult	not available	21	CD4 T cell-21	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD4_6.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD4_6.raw	MASSIVE	CD4 T cell
PXD047742-Sample-22	Homo sapiens	blood	CD4 T cell	CD4 T cell	normal	normal	normal	not available	not available	not available	adult	not available	22	CD4 T cell-22	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD4_7.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD4_7.raw	MASSIVE	CD4 T cell
PXD047742-Sample-23	Homo sapiens	blood	CD4 T cell	CD4 T cell	normal	normal	normal	not available	not available	not available	adult	not available	23	CD4 T cell-23	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD4_8.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD4_8.raw	MASSIVE	CD4 T cell
PXD047742-Sample-24	Homo sapiens	blood	CD4 T cell	CD4 T cell	normal	normal	normal	not available	not available	not available	adult	not available	24	CD4 T cell-24	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD4_9.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD4_9.raw	MASSIVE	CD4 T cell
PXD047742-Sample-25	Homo sapiens	blood	CD4 T cell	CD4 T cell	normal	normal	normal	not available	not available	not available	adult	not available	25	CD4 T cell-25	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD4_10.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD4_10.raw	MASSIVE	CD4 T cell
PXD047742-Sample-26	Homo sapiens	blood	CD4 T cell	CD4 T cell	normal	normal	normal	not available	not available	not available	adult	not available	26	CD4 T cell-26	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD4_11.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD4_11.raw	MASSIVE	CD4 T cell
PXD047742-Sample-27	Homo sapiens	blood	CD4 T cell	CD4 T cell	normal	normal	normal	not available	not available	not available	adult	not available	27	CD4 T cell-27	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD4_12.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD4_12.raw	MASSIVE	CD4 T cell
PXD047742-Sample-28	Homo sapiens	blood	CD4 T cell	CD4 T cell	normal	normal	normal	not available	not available	not available	adult	not available	28	CD4 T cell-28	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD4_13.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD4_13.raw	MASSIVE	CD4 T cell
PXD047742-Sample-29	Homo sapiens	blood	CD4 T cell	CD4 T cell	normal	normal	normal	not available	not available	not available	adult	not available	29	CD4 T cell-29	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD4_14.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD4_14.raw	MASSIVE	CD4 T cell
PXD047742-Sample-30	Homo sapiens	blood	CD4 T cell	CD4 T cell	normal	normal	normal	not available	not available	not available	adult	not available	30	CD4 T cell-30	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD4_15.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD4_15.raw	MASSIVE	CD4 T cell
PXD047742-Sample-31	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	31	CD8 T cell-31	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_1.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_1.raw	MASSIVE	CD8 T cell
PXD047742-Sample-32	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	32	CD8 T cell-32	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_2.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_2.raw	MASSIVE	CD8 T cell
PXD047742-Sample-33	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	33	CD8 T cell-33	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_3.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_3.raw	MASSIVE	CD8 T cell
PXD047742-Sample-34	Homo sapiens	blood	CD8 T cell	CD8 T cell	normal	normal	normal	not available	not available	not available	adult	not available	34	CD8 T cell-34	1	1	proteomic profiling by mass spectrometry	data-independent acquisition	AC=MS:1002038;NT=label free sample	Orbitrap Exploris 240	AC=MS:1001251;NT=Trypsin	CD8_4.raw	ftp://massive-ftp.ucsd.edu/v06/MSV000093644/raw/CD8_4.raw	MASSIVE	CD8 T cell
