source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[sex]	characteristics[disease]	characteristics[sample identifier]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[individual]	comment[proteomexchange accession number]	comment[data file]	assay name	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[batch identifier]
PXD004352-Sample-70	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	pDC_04 (activated)	adult	4	4	PXD004352	pDC_04 (activated).raw	Dendritic Cells Plasmacytoid_Activated-4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/pDC_04 (activated).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-71	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_CTR_01	adult	1	1	PXD004352	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_CTR_01.raw	Dendritic Cells Plasmacytoid_CTR-1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_CTR_01.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-72	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_CTR_02	adult	2	2	PXD004352	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_CTR_02.raw	Dendritic Cells Plasmacytoid_CTR-2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_CTR_02.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-73	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_CTR_03	adult	3	3	PXD004352	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_CTR_03.raw	Dendritic Cells Plasmacytoid_CTR-3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_CTR_03.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-74	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_LPS_01	adult	1	1	PXD004352	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_LPS_01.raw	Dendritic Cells Plasmacytoid_LPS-1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_LPS_01.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-75	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_LPS_02	adult	2	2	PXD004352	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_LPS_02.raw	Dendritic Cells Plasmacytoid_LPS-2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_LPS_02.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-76	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_LPS_03	adult	3	3	PXD004352	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_LPS_03.raw	Dendritic Cells Plasmacytoid_LPS-3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_LPS_03.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-77	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_LTA_01	adult	1	1	PXD004352	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_LTA_01.raw	Dendritic Cells Plasmacytoid_LTA-1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_LTA_01.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-78	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_LTA_02	adult	2	2	PXD004352	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_LTA_02.raw	Dendritic Cells Plasmacytoid_LTA-2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_LTA_02.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-79	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_LTA_03	adult	3	3	PXD004352	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_LTA_03.raw	Dendritic Cells Plasmacytoid_LTA-3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_LTA_03.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-80	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150112_EXQ00_JaRi_SA_Sups_pDC_n_01	adult	1	1	PXD004352	20150112_EXQ00_JaRi_SA_Sups_pDC_n_01.raw	Dendritic Cells Plasmacytoid_Negative-1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150112_EXQ00_JaRi_SA_Sups_pDC_n_01.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-81	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150112_EXQ00_JaRi_SA_Sups_pDC_n_02	adult	2	2	PXD004352	20150112_EXQ00_JaRi_SA_Sups_pDC_n_02.raw	Dendritic Cells Plasmacytoid_Negative-2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150112_EXQ00_JaRi_SA_Sups_pDC_n_02.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-82	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150112_EXQ00_JaRi_SA_Sups_pDC_n_03	adult	3	3	PXD004352	20150112_EXQ00_JaRi_SA_Sups_pDC_n_03.raw	Dendritic Cells Plasmacytoid_Negative-3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150112_EXQ00_JaRi_SA_Sups_pDC_n_03.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-83	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150112_EXQ00_JaRi_SA_Sups_pDC_n_04	adult	4	4	PXD004352	20150112_EXQ00_JaRi_SA_Sups_pDC_n_04.raw	Dendritic Cells Plasmacytoid_Negative-4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150112_EXQ00_JaRi_SA_Sups_pDC_n_04.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-84	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150112_EXQ00_JaRi_SA_Sups_pDC_p_01	adult	1	1	PXD004352	20150112_EXQ00_JaRi_SA_Sups_pDC_p_01.raw	Dendritic Cells Plasmacytoid_Positive-1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150112_EXQ00_JaRi_SA_Sups_pDC_p_01.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-85	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150112_EXQ00_JaRi_SA_Sups_pDC_p_02	adult	2	2	PXD004352	20150112_EXQ00_JaRi_SA_Sups_pDC_p_02.raw	Dendritic Cells Plasmacytoid_Positive-2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150112_EXQ00_JaRi_SA_Sups_pDC_p_02.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-86	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150112_EXQ00_JaRi_SA_Sups_pDC_p_03	adult	3	3	PXD004352	20150112_EXQ00_JaRi_SA_Sups_pDC_p_03.raw	Dendritic Cells Plasmacytoid_Positive-3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150112_EXQ00_JaRi_SA_Sups_pDC_p_03.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-87	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150112_EXQ00_JaRi_SA_Sups_pDC_p_04	adult	4	4	PXD004352	20150112_EXQ00_JaRi_SA_Sups_pDC_p_04.raw	Dendritic Cells Plasmacytoid_Positive-4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150112_EXQ00_JaRi_SA_Sups_pDC_p_04.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-88	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_PIC_01	adult	1	1	PXD004352	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_PIC_01.raw	Dendritic Cells Plasmacytoid_PIC-1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_PIC_01.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-89	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_PIC_02	adult	2	2	PXD004352	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_PIC_02.raw	Dendritic Cells Plasmacytoid_PIC-2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_PIC_02.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-90	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_PIC_03	adult	3	3	PXD004352	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_PIC_03.raw	Dendritic Cells Plasmacytoid_PIC-3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_PIC_03.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-91	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_R848_01	adult	1	1	PXD004352	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_R848_01.raw	Dendritic Cells Plasmacytoid_R848-1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_R848_01.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-92	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_R848_02	adult	2	2	PXD004352	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_R848_02.raw	Dendritic Cells Plasmacytoid_R848-2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_R848_02.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-93	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_R848_03	adult	3	3	PXD004352	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_R848_03.raw	Dendritic Cells Plasmacytoid_R848-3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_R848_03.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-94	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	pDC_01 (steady-state)	adult	1	1	PXD004352	pDC_01 (steady-state).raw	Dendritic Cells Plasmacytoid_Steady state-1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/pDC_01 (steady-state).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-95	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	pDC_02 (steady-state)	adult	2	2	PXD004352	pDC_02 (steady-state).raw	Dendritic Cells Plasmacytoid_Steady state-2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/pDC_02 (steady-state).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-96	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	pDC_03 (steady-state)	adult	3	3	PXD004352	pDC_03 (steady-state).raw	Dendritic Cells Plasmacytoid_Steady state-3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/pDC_03 (steady-state).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-97	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	pDC_04 (steady-state)	adult	4	4	PXD004352	pDC_04 (steady-state).raw	Dendritic Cells Plasmacytoid_Steady state-4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/pDC_04 (steady-state).raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
PXD004352-Sample-98	Homo sapiens	Blood	Blood	Dendritic Cells Plasmacytoid	not available	not available	not available	normal	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_ZYM_01	adult	1	1	PXD004352	20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_ZYM_01.raw	Dendritic Cells Plasmacytoid_ZYM-1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD004352/20150817_QEp8_JaRi_SA_Sups_DCplasmacytoid_ZYM_01.raw	1	1	NT=Q Exactive;AC=MS:1001911	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Acetyl; MT=Variable; PP=Protein N-term; AC=UNIMOD:1	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	7 ppm	20 ppm	1
